"ResultType","Message"
"26000","The provided access grant requires interaction."
"29200","QR Code requested. Generate QR code and display on UX page for interactive sign-ins."
"29201","Invalid QR Code request. Client Id ({clientId}) or target client Id ({targetClientId}) is invalid."
"29202","Invalid scope and response_type request parameters. scope=qrcode can only be used with response_type=none."
"29203","Invalid target_client_id '{targetClientId}' argument value."
"29204","Failed to write QR Code token to Store."
"29205","Generated QR Code string has exceeded maximum supported length."
"29206","Invalid QR Code redemption request. Client Id ({clientId}) is invalid."
"29207","Error processing session data. QR Code is either invalid or expired."
"29208","Error processing session data. QR Code was already redeemed."
"40002","The identity provider returned an error. The status returned was '{status}' and the message was '{message}'."
"40003","A required token was not emitted by an external Identity Provider."
"40004","A required token was not emitted by an external Identity Provider."
"40005","Invalid token received from external Identity Provider. Current time: {curTime}, expiry time of assertion {expTime}."
"40008","There was an unexpected error from the external identity provider."
"40009","The identity provider returned an error."
"40010","The identity provider has failed with a transient error."
"40013","Social IDP MicroService Federation disabled."
"40014","Federated Identity Provider is unavailable."
"40015","The identity provider returned an error."
"40016","The Identity Provider returned an error."
"50005","User tried to log in to a device from a platform ({platform}) that's currently not supported through Conditional Access policy. Supported device platforms are: iOS, Android, Mac, and Windows flavors."
"50006","Signature verification failed because of an invalid signature."
"50007","Encryption certificate was not found in the directory."
"50008","The SAML token is invalid."
"50010","Audience URI validation failed since no token audiences were configured."
"50011","The {redirectTerm} '{replyAddress}' specified in the request does not match the {redirectTerm}s configured for the application '{identifier}'. Make sure the {redirectTerm} sent in the request matches one added to your application in the Azure portal. Navigate to {akamsLink} to learn more about how to fix this. {detail}"
"50012","Authentication failed."
"50013","Assertion failed signature validation. Possibly because the token issuer doesn't match the API version within its valid time range, it's expired or malformed, or the refresh token in the assertion is not a primary refresh token."
"50014","The user's redemption is in a pending state. The guest user account is not fully created yet."
"50015","The user requires legal age group consent."
"50016","Invalid Argument Redirect ErrorCode value."
"50017","Validation of given certificate for certificate based authentication failed."
"50019","This occurred due to an interrupt to select a certificate before the user signs in."
"50020","User account '{email}' from identity provider '{idp}' does not exist in tenant '{tenant}' and cannot access the application '{appId}'({appName}) in that tenant. The account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account."
"50023","ClaimType '{claimType}' is reserved for system use."
"50043","Unable to generate a pairwise identifier with more than one salt in principal."
"50045","The salt required to generate a pairwise identifier is malformed in principal."
"50048","Subject must match the issuer claim in the client assertion."
"50049","Unknown or invalid instance."
"50050","The request is malformed: invalid format for '{name}' value."
"50051","The root key endpoint is missing the root keys."
"50052","The password entered exceeds the maximum length. Please reach out to your admin to reset the password."
"50053","The account is locked, you've tried to sign in too many times with an incorrect user ID or password."
"50054","Looks like you entered your old password. Try again with your new one."
"50055","The password is expired."
"50056","Invalid or missing password: password does not exist in the directory for this user."
"50057","The user account is disabled."
"50058","Session information is not sufficient for single-sign-on."
"50059","No tenant-identifying information found in either the request or implied by any provided credentials."
"50060","Unable to sign out."
"50061","Unable to complete signout. The request was invalid."
"50068","Signout failed. The initiating application is not a participant in the current session."
"50069","Signout failed. The request specified a name identifier of '{identifier}' which did not match the existing session(s)."
"50070","Signout failed. The request specified session indexes '{identifier}' which did not match the existing session(s)."
"50071","Signout request has expired."
"50072","Due to a configuration change made by your administrator, or because you moved to a new location, you must enroll in multi-factor authentication to access '{identifier}'."
"50074","Strong Authentication is required."
"50075","The tenant '{tenant}' does not have security defaults enabled."
"50076","Due to a configuration change made by your administrator, or because you moved to a new location, you must use multi-factor authentication to access '{resource}'."
"50077","The administrator created a conditional access policy that requires the authenticator to be used to provide GPS location."
"50078","Presented multi-factor authentication has expired due to policies configured by your administrator, you must refresh your multi-factor authentication to access '{resource}'."
"50079","Due to a configuration change made by your administrator, or because you moved to a new location, you must enroll in multi-factor authentication to access '{identifier}'."
"50080","Bad request received."
"50081","The administrator created a conditional access policy that requires GPS location."
"50082","The partitioned token signing key endpoint is missing the partitioned token signing keys."
"50085","Refresh token needs a social identity provider login."
"50087","A transient error has occurred during strong authentication. Please try again."
"50088","Limit on telecom MFA calls reached. Please try again in a few minutes."
"50089","Authentication failed due to flow token expired."
"50091","Passed query string length exceeds supported limit."
"50093","Missing value for the SAML NameID."
"50094","Unknown source configured on the audience for the SAML NameID."
"50095","Unknown source configured on the audience for the SAML email claim."
"50096","Source configured on the audience for the SAML NameID is not compatible with the requested format."
"50097","Device authentication is required."
"50130","The claim value(s) '{value}' cannot be interpreted as known auth method(s)."
"50131","Device is not in required device state: {state}. Or, the request was blocked due to suspicious activity, access policy, or security policy decisions."
"50132","The session is not valid due the following reasons: password expiration or recent password change, SSO Artifact is invalid or expired, session is not fresh enough for application, or a silent sign-in request was sent but the user's session with Azure AD is invalid or has expired."
"50133","The session is not valid due to password expiration or recent password change."
"50134","Wrong data center. To authorize a request that was initiated by an app in the OAuth 2.0 device flow, the authorizing party must be in the same data center where the original request resides."
"50135","Password change is required due to account risk."
"50136","Single MSA session detected when requesting an MSA ticket."
"50137","Password needs to be changed due to security policy rule."
"50138","Invalid encryption key environment."
"50139","Session is invalid due to missing an external refresh token."
"50140","This occurred due to 'Keep me signed in' interrupt when the user was signing in."
"50141","Protected key is not intended for the authenticated user."
"50142","Password change is required due to a conditional access policy."
"50143","Session mismatch. The session is invalid because user tenant does not match the domain hint."
"50144","The user's Active Directory password has expired."
"50146","This application is required to be configured with an application-specific signing key. It is either not configured with one, or the key has expired or is not yet valid."
"50147","Invalid size of the code challenge parameter."
"50148","The code_verifier does not match the code_challenge supplied in the authorization request for PKCE."
"50149","Invalid Code_Challenge_method parameter."
"50150","The provided credentials does not have a valid user consent approval information."
"50178","User account '{user}' from identity provider '{idp}' does not exist in tenant '{tenant}' and cannot access the application '{appId}'({appName}) in that tenant. The account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account."
"50179","Client_info is not supported for this user."
"50180","Integrated Windows Authentication is needed. Enable the tenant '{name}' for Seamless SSO."
"50181","Unable to validate the otp."
"50182","OTP is already expired."
"50183","Cannot lookup otp due to cache error."
"50184","OTP is incorrect, or no cache entry exists for the tenant/user."
"50185","Email OTP notification delivery failed."
"50186","Unpermitted realm."
"50187","Failed to perform device authentication."
"50189","The device code is not correctly formatted."
"50190","Region prefix to connection string mapping returned from settings is null."
"50192","Invalid request."
"50193","Internal use"
"50194","Application '{appId}'({appName}) is not configured as a multi-tenant application. Usage of the /common endpoint is not supported for such applications created after '{time}'. Use a tenant-specific endpoint or configure the application to be multi-tenant."
"50196","The server terminated an operation because it encountered a client request loop. Please contact your app vendor."
"50197","Sorry, we could not find the user, please sign-in again."
"50199","For security reasons, user confirmation is required for this request. Please repeat the request allowing user interaction."
"50200","Unpermitted external trusted realm."
"50201","This message prompt interrupt will be shown to the user during login when additional information should be provided to user."
"50202","User is not registered in the organization and must explicitly consent to the sign-in."
"50203","User has not registered the authenticator app and must register or snooze this notification."
"50204","External user has not consented to the privacy statement."
"50205","External user has consented to the privacy statement."
"50206","The user or administrator has not consented connecting to the target-device: '{identifier}'. Send an interactive authorization request for this user and target-machine."
"50207","This web native bridge interrupt will be shown to the user during login when the application is requesting login through the native broker and needs eSTS to ensure the broker is properly configured."
"50208","This web native bridge interrupt was shown, but the native bridge unexpectedly returned a different user."
"50209","User is performing a password reset."
"53000","Device is not in required device state: {state}. Conditional Access policy requires a compliant device, and the device is not compliant. The user must enroll their device with an approved MDM provider like Intune."
"53001","Device is not in required device state: {state}. Conditional Access policy requires a domain joined device, and the device is not domain joined."
"53002","Device is not in required device state: {state}. The app used is not an approved app for Conditional Access."
"53003","Access has been blocked by Conditional Access policies. The access policy does not allow token issuance."
"53004","Cannot configure multi-factor authentication methods due to suspicious activity."
"53005","Application needs to enforce Intune protection policies."
"53006","Authentication required from federated idP."
"53007","Authentication required from federated IDP."
"53008","Browser not supported."
"53009","Application needs to enforce Intune protection policies."
"53010","Cannot configure multi-factor authentication methods because the organization requires this information to be set from specific locations or devices."
"53011","User blocked due to risk on home tenant."
"54000","User is not allowed to access application {appName} due to Legal Age Group Requirement of application {audience}."
"54005","OAuth2 Authorization code was already redeemed, please retry with a new valid code or use an existing refresh token."
"54006","Unencrypted v2 access tokens are not supported for first party applications that support consumer accounts. The resource must add a certificate to the onboarding portal to encrypt tokens."
"54007","Method not supported for IDP OAuth2 Federation."
"54008","Multi-Factor authentication is required and the credential used ({credentialName}) is not supported as a First Factor. Contact your administrator for more information."
"54009","Multi-Factor authentication is required and the credential used is not supported. Contact your administrator for more information."
"54010","Proofup blocked due to credential used not supported. Contact your administrator for more information."
"65001","The user or administrator has not consented to use the application with ID '{identifier}'{namePhrase}. Send an interactive authorization request for this user and resource."
"65002","Consent between first party application '{applicationId}' and first party resource '{resourceId}' must be configured via preauthorization - applications owned and operated by Microsoft must get approval from the API owner before requesting tokens for that API."
"65003","Consent for first party token-to-self must be configured via preauthorization. If preauthorization has already been configured, update the request to use a URI identifier for the resource instead of '{resourceId}' to work around this error."
"65004","User declined to consent to access the app."
"65005","The application '{name}' asked for scope '{scope}' that doesn't exist."
"65006","Resource '{resourceId}' had no entitlements matching required permissions configured on the required resource access for client '{clientId}'. Requested permission IDs: '{permissionId}'. This is a problem with one or more invalid permission ids on the client RRA configuration or the resource entitlement configuration."
"65007","Client '{clientId}' required resource access configuration has changed and therefore the request could not be completed. Please try again."
"70034","The remote auth session with this device code has already been denied."
"70035","Remote auth session with this device code doesn't exist."
"70036","Unsupported remote auth session state."
"70037","Incorrect challenge response provided. Remote auth session denied."
"70039","The remote auth session with this device code has expired."
"70041","Unable to complete OAuth2 IdP's sign in. The 'nonce' claim does not match the expected value."
"70043","The refresh token has expired or is invalid due to sign-in frequency checks by conditional access. The token was issued on {issueDate} and the maximum allowed lifetime for this request is {time}."
"70044","The session has expired or is invalid due to sign-in frequency checks by conditional access."
"70045","The refresh token is invalid due to sign-in frequency checks by conditional access. Additionally, since the sign-in frequency policy applies to all applications, the token will never be usable, and should be deleted. The authInstant in this token was {authInstant} and the maximum allowed lifetime for this request is {time}."
"70046","The session has expired or is invalid due to re-authentication checks by conditional access."
"81005","Authentication package is not supported."
"81006","No authorization header was found, returning 401 WWW-Authenticate."
"81007","Tenant is not enabled for DesktopSSO."
"81008","Failed to validate Kerberos ticket."
"81009","Unable to validate the user's Kerberos ticket, the authorization header value is not formatted correctly."
"81010","Seamless SSO failed because the user's Kerberos ticket has expired or is invalid."
"81011","Failed to find user by on-premise SID in the user's Kerberos ticket."
"81012","The user trying to sign in to Azure AD is different from the user signed into the device."
"81013","Failed to lookup the user whose kerberos ticket was used to login."
"81014","The DesktopSSO auth token has expired."
"81015","Rejecting DesktopSSO Kerberos ticket as it was obtained through delegation. Delegated Kerberos ticket does not originate from user directly. Please contact your tenant administrator to disable delegation on the AZUREADSSOACC account."
"81016","Invalid STS request."
"90000","Internal use"
"90002","Tenant '{tenant_name}' not found. Check to make sure you have the correct tenant ID and are signing into the correct cloud. Check with your subscription administrator, this may happen if there are no active subscriptions for the tenant."
"90004","The request is not properly formatted."
"90005","Unable to complete request. The request was invalid since SID and login_hint cannot be used together."
"90006","A transient error has occurred. Please try again."
"90007","Bad Request. The passed session ID cannot be parsed."
"90008","The user or administrator has not consented to use the application with ID '{appId}'({appName}). This happened because application is misconfigured: it must require access to Microsoft Graph by specifying at least 'Sign in and read user profile' permission."
"90009","Application '{appId}'({appName}) is requesting a token for itself. This scenario is supported only if resource is specified using the GUID based App Identifier."
"90010","Unable to create {algoName} algorithm."
"90012","This request has timed out."
"90013","Invalid input received from the user."
"90014","The required field '{name}' is missing from the credential. Ensure that you have all the necessary parameters for the login request."
"90015","Requested query string is too long."
"90016","Invalid access token. Required claim is missing."
"90017","Unexpected field '{fieldName}'."
"90019","No tenant-identifying information found in either the request or implied by any provided credentials."
"90020","The SAML 1.1 Assertion is missing ImmutableID of the user."
"90022","Principal name format is invalid for '{name}'. Expected format: name[/instance][@realm]. The principal name is required, host and realm are optional and may be set to null."
"90023","Invalid STS request."
"90024","A transient error has occurred. Please try again."
"90025","Request processing has exceeded internal allowance. This operation will be retried internally and usually resolves without user impact. Please verify the end result of the transaction to verify status."
"90026","Hostname contains an invalid wildcard '*' character."
"90027","We are unable to issue tokens from this API version on the MSA tenant. Please contact the application vendor as they need to use version 2.0 of the protocol to support this."
"90028","Principal name format is invalid for name '{name}'. Primary component of the name is required."
"90029","The realm '{name}' is a Unicode domain name. Domain names of this form are not supported."
"90030","A transient error has occurred. Try again after some time."
"90031","A transient error has occurred. Try again after some time."
"90032","A transient error has occurred. Try again after some time."
"90033","A transient error has occurred. Please try again."
"90035","Service is temporarily unavailable. Please retry later."
"90036","An unexpected, non-retryable error stemming from the directory service has occurred."
"90037","Non-retryable error has occurred."
"90038","Tenant '{tenant_name}' request is being redirected to the National Cloud '{cloud}'."
"90039","Service is temporarily unavailable. Please retry later."
"90040","A non-retryable error has occurred."
"90041","A transient error has occurred. Please try again."
"90042","National Cloud Name is missing in the postback request."
"90082","Authentication policy '{name}' selected for the request is not currently supported."
"90083","Request is unsupported."
"90084","Guest accounts are not allowed for this site."
"90085","The service is unable to issue a token because the company object hasn't been provisioned yet."
"90086","The user DA token is expired."
"90087","An error occurred while creating the WS-Federation message from the URI."
"90088","Authentication failed due to email address domain is not in allowed domains list for identity provider."
"90089","User token should not be used in App on behalf of flow."
"90090","A transient error has occurred. Please try again."
"90091","A transient error has occurred. Please try again."
"90092","Non-retryable error has occurred."
"90093","Actual message content is runtime specific. Please see returned exception message for details."
"90094","Admin consent is required for the permissions requested by this application."
"90095","Admin consent is required for the permissions requested by this application. An admin consent request may be sent to the admin."
"90096","Admin consent is required for the permissions requested by this application. Admin consent request sent for processing."
"90097","An error has occured during admin consent processing."
"90098","An unexpected approval request ID was provided."
"90099","The application '{appId}' ({appName}) has not been authorized in the tenant '{tenant}'. Applications must be authorized to access the customer tenant before partner delegated administrators can use them."
"90100","{name} parameter is empty or not valid."
"90101","The supplied data isn't a valid email address. Please provide it in the format someone@example.com"
"90102","'{name}' value must be a valid absolute URI."
"90126","User Type is not supported on this endpoint. The system can't infer the user's tenant from the user name: {userName}"
"90128","Unable to load OptIn store for user."
"90129","{resConstant} '{resourceId}' {resourceName} has a configured token version of '1' and is not supported over the /common or /consumers endpoints."
"90130","{appConstant} '{appId}' {appName} is not supported over the /common or /consumers endpoints. Please use the /organizations or tenant-specific endpoint."
"90131","Invalid ambiguous request. sid cannot be used with prompt {prompt}."
"90132","The provided value for the input parameter 'device_code' is not valid. Device codes supporting the personal Microsoft Account sign-in audience can only be used for v2 common or consumers tenants."
"90134","Retrieving claims from identity provider '{idp}' failed."
"90135","The user decided not to continue the authentication. No remediation is required."
"90136","Device Code flow is not supported for Confidential Clients."
"90137","Token issuance cannot proceed because user declined consent approval to release their profile information."
"90138","Invalid ambiguous request. sid cannot be used with login_hint."
"90139","Invalid request. The device code flow connect mode in your request is only supported for the /consumers/ tenant."
"130001","Signature key ID is not provided."
"130004","UserPrincipal doesn't have the NGC key configured."
"130005","NGC key signature verification failed."
"130006","The NGC transport key isn't configured on the device."
"130007","The device is disabled."
"130008","Device referenced by the NGC key is not found."
"130009","Device key was found weak."
"130500","Phone sign in was blocked due to User Credential Policy."
"130501","Sign in was blocked due to User Credential Policy."
"130502","Temporary Access Pass sign in was blocked due to User Credential Policy."
"130503","Your Temporary Access Pass is incorrect. If you don't know your pass, contact your administrator."
"130504","Your Temporary Access Pass has expired. Contact your administrator to obtain a new pass."
"130505","Your one-time Temporary Access Pass has been redeemed. Contact your admin to get a new pass."
"130506","Access Pass must be used for Web Sign In. Contact your admin to get an Access Pass."
"130507","An access pass could not be found or verified for the user."
"135001","UserPrincipal doesn't have the key ID configured."
"135002","Fido key does not have authenticator data."
"135003","Fido assertion verification failed. Invalid gesture provided."
"135004","Invalid postBackUrl parameter."
"135005","Invalid cancelUrl parameter."
"135006","Invalid resumeUrl parameter."
"135007","Client data type is not valid."
"135008","Relying Party Origin is not valid."
"135009","Flow Token Scenario must be login scenario."
"135010","UserPrincipal doesn't have the key ID configured."
"135011","Device used during the authentication is disabled."
"135012","UserObjectId from the UserHandle does not match with UserPrincipal UserObjectId."
"135013","Invalid UserHandle prefix."
"135014","Invalid UserHandle length."
"135015","The FIDO exclude list was not a valid JSON blob."
"135016","FIDO sign-in is disabled via policy."
"135017","Unexpected Signature Counter received from authenticator."
"135018","Invalid challenge received from fido assertion."
"135019","Expired Challenge received from Fido assertion."
"135020","Invalid Fido assertion."
"140000","Request nonce is expired. Current time: {curTime}, expiry time of assertion {expTime}."
"140001","The session key is not valid."
"140002","Key not found"
"140003","Nonce purpose not supported"
"140004","Invalid Ticket Granting Ticket request."
"140005","Invalid Ticket Granting Ticket request."
"140006","Invalid Ticket Granting Ticket request."
"140007","Invalid Ticket Granting Service request."
"140008","Invalid ApReq assertion provided."
"140009","Kerberos crypto bad request"
"160021","Application requested a user session which does not exist."
"240000","Limit for BulkAADJ tokens is reached for the tenant."
"240001","User is not authorized to register devices in Azure AD."
"240002","Input id_token cannot be used as 'urn:ietf:params:oauth:grant-type:jwt-bearer' grant."
"240003","Unexpected result from authorize endpoint call."
"240004","Authorization code not received from authorize endpoint call. Error: {errorInfo}"
"240005","Missing required user role to acquire a bulk AADJ token. For more information please go to https://go.microsoft.com/fwlink/?linkid=2224591."
"399209","Application '{appIdentifier}' does not have certificate-bound access tokens enabled."
"399210","A verifiable credential is required to access this resource."
"399211","Unable to find the requested DiskCache."
"399212","Requested DiskCache is expired."
"399213","The device key supplied is invalid."
"399214","The algorithm in the request is invalid."
"399215","HttpRequestException occurred in request to Dsts."
"399216","Timeout occurred in request to Dsts."
"399217","Non-retryable error has occurred."
"399218","For security reasons, user confirmation is required for this request. Please repeat the request allowing user interaction."
"399219","MSA Data Accessor transient timeout."
"399220","More than one service principal returned"
"500011","The resource principal named {name} was not found in the tenant named {tenant}. This can happen if the application has not been installed by the administrator of the tenant or consented to by any user in the tenant. You might have sent your authentication request to the wrong tenant."
"500012","Resource application name '{name}' is not valid."
"500013","Resource identifier is not provided."
"500014","The service principal for resource '{identifier}' is disabled. This indicate that a subscription within the tenant has lapsed, or that the administrator for this tenant has disabled the application, preventing tokens from being issued for it."
"500015","MSA provisioned resources are not supported in the tenant named {tenant}."
"500016","Application '{appIdentifier}' is not supported as a resource application to execute the flow."
"500017","Application '{appIdentifier}' is not allowed as a resource application to execute the flow."
"500021","Access to '{tenant}' tenant is denied."
"500022","Access to '{tenant}' tenant is denied."
"500023","'{headerFromCredential}' is not the same as '{headerFromRequest}'."
"500081","SAML assertion validation failed: no supported token signature is provided."
"500082","SAML assertion is not present in the token."
"500083","Unable to verify token signature. No trusted realm was found with identifier '{issuer}'."
"500084","Cannot read SecurityToken. Expected element is ({expectedName}, {expectedNamespace}) the actual element is ({localName}, {actualNamespace})."
"500085","SAML Assertion with MajorVersion '{actualMajor}' and MinorVersion '{actualMinor}' is not supported. The supported version is MajorVersion '{major}' and MinorVersion '{minor}'."
"500086","SAML Assertion AssertionId '{id}' is not a valid xsd:ID value."
"500087","SAML Assertion does not have any SAML Statement elements. SAML Assertion must have at least one SAML Statement element."
"500088","SAML Assertion is missing the required '{name}' Attribute."
"500089","SAML 2.0 assertion validation failed: {details}"
